"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.488388061523","118.579742431641","119.748779296875","119.765342712402","119.042266845703","119.073196411133","118.516036987305","118.459770202637","120.277908325195","121.813781738281","107.715202331543","102.776496887207","116.512488436633","117.553191489362","114.39570695287","","","107.309936523438","107.404663085938","107.237182617188","106.859481811523","101.311988830566","","106.005434782609","",
"Africa Eastern and Southern","AFE","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","70.340950012207","66.7481689453125","67.311653137207","68.4033203125","71.7347869873047","74.0405578613281","75.7169570922852","77.3618316650391","78.070198059082","80.9015197753906","83.6900100708008","84.8456192016602","85.0720062255859","84.6268310546875","83.3711013793945","81.1280670166016","80.5018920898438","78.0212478637695","77.8991622924805","79.1792297363281","76.57763671875","78.0464019775391","76.5186309814453","77.1028213500977","77.1921234130859","79.8190765380859","79.6977386474609","83.0355606079102","83.3733062744141","81.4489517211914","83.3678512573242","86.1019592285156","88.7648468017578","92.3664398193359","94.1967620849609","97.1745223999023","99.1968688964844","102.355903625488","105.863906860352","104.935249328613","104.07836151123","104.747787475586","104.623512268066","103.379051208496","103.519523620605","101.695373535156","102.173400878906","103.185272216797","104.823997497559","105.613983154297","106.479591369629","104.912391662598","101.695259094238","101.874801635742","102.28556060791","",
"Afghanistan","AFG","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","53.6909294128418","55.4016304016113","55.9390106201172","56.3519287109375","57.3139305114746","58.4549217224121","59.5716400146484","60.3377494812012","62.0311088562012","","70.6819000244141","79.3669204711914","26.7844390869141","","33.4359512329102","33.874641418457","34.6519012451172","","45.364688873291","41.6640396118164","40.0961494445801","41.0024185180664","","50.2643585205078","60.0211486816406","63.5347595214844","","","","47.7320213317871","42.0252113342285","43.347900390625","100.316429138184","121.708023071289","146.238525390625","125.132736206055","125.48087310791","122.418601989746","126.83984375","119.475723266602","122.387077331543","117.800979614258","123.121421813965","125.977630615234","128.515670776367","126.134391784668","126.238311767578","126.160003662109","128.190673828125","129.512435913086","","","","","","",
"Africa Western and Central","AFW","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","53.6860198974609","55.0798606872559","56.9387283325195","58.2202796936035","58.1458396911621","58.6279296875","58.9846611022949","64.4832382202148","72.9099197387695","80.7176513671875","83.7518692016602","87.8928833007812","93.4590835571289","93.9616775512695","92.7598724365234","89.0439682006836","81.8416213989258","80.0947723388672","79.5943298339844","76.7061233520508","79.4148712158203","79.0696182250977","80.5001907348633","83.288818359375","83.4032974243164","81.4042816162109","75.8011932373047","79.9577331542969","83.2928695678711","86.5921936035156","89.5402526855469","89.5624771118164","91.3788375854492","91.6851425170898","93.3617935180664","93.9539413452148","94.0319366455078","90.2734909057617","87.4185104370117","88.8881912231445","89.1337890625","91.7974090576172","92.3349533081055","93.351676940918","91.5471572875977","89.569938659668","89.6603698730469","89.3093109130859","88.7229919433594","89.3064727783203","89.6025772094727","89.3786163330078","90.9440765380859","92.4607009887695","92.4012222290039","",
"Angola","AGO","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","","77.5000305175781","83.8015899658203","","","","","","","","","","142.597076416016","131.810882568359","","","97.9474029541016","97.9711074829102","96.8861770629883","94.2995300292969","84.389030456543","76.8978500366211","75.8046264648438","","","","","","83.4894332885742","","","","","","","","","","122.106079101562","121.625442504883","125.828803030125","156.771651774547","","","","127.901176452637","","","","","","90.8379569429832","","86.3815284301464","","",
"Albania","ALB","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.292846679688","109.032371520996","105.038497924805","108.110420227051","106.059463500977","103.717819213867","100.440391540527","101.46492767334","100.145293262981","101.934695051784","102.517958554289","102.31247627668","105.896066550272","106.465263900317","105.978096718982","106.763128698225","106.626548924655","105.451486933013","102.676764616783","99.938374537809","99.6026177555354","97.2413705390074","111.588859558105","",
"Andorra","AND","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","","","","","","95.6408004760742","","","","","","","","104.372840881348","","","","","","","","","","","","","","","","","","","101.360862731934","103.549461364746","99.2087936401367","90.6850509643555","90.3212966918945","89.2666168212891","88.6066513061523","85.4022598266602","85.1768188476562","85.9127731323242","84.446159362793","85.6630783081055","87.2919204222493","89.2001624035729","92.5164473684211","90.7005325686194","92.5728354534263","91.7632450331126","90.3821923561529","90.7027498908773","90.5908096280088","97.3506960035923","99.9534450651769","",
"Arab World","ARB","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","89.9299697875977","84.2534637451172","85.5809631347656","86.6207733154297","86.889289855957","88.3251876831055","89.6733779907227","89.8583984375","89.7747421264648","79.9378814697266","90.4544525146484","89.5774230957031","89.7738800048828","90.0956878662109","90.5976181030273","89.9825820922852","90.3281631469727","90.9428787231445","91.7267684936523","91.1199188232422","91.8940811157227","92.6287078857422","89.4123229980469","89.686653137207","92.1034698486328","90.1833419799805","93.6030883789062","92.9041290283203","92.7762069702148","93.2719802856445","93.2574615478516","93.3185272216797","93.9094390869141","94.443977355957","94.4863433837891","94.0869827270508","95.4195404052734","95.0440521240234","95.0170593261719","94.7975921630859","94.9847564697266","94.3305892944336","95.217887878418","91.5713119506836","90.3999481201172","90.3381729125977","90.2205505371094","90.5882568359375","91.0492935180664","91.1403579711914","91.708251953125","91.5369110107422","90.201042175293","93.0848388671875","93.3977890014648","",
"United Arab Emirates","ARE","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.421539306641","121.180549621582","119.373840332031","112.590103149414","107.262573242188","101.118560791016","","","","","","","","","","","","104.600581139847","107.360038293575","108.471355643789","105.776613448009","107.268294830892","105.991472523428","108.554606070462","",
"Argentina","ARG","School enrollment, primary, male (% gross)","SE.PRM.ENRR.MA","","","","","","","","","","","105.155662536621","106.127250671387","106.185928344727","106.067947387695","107.360801696777","107.031936645508","106.968818664551","107.843536376953","106.627128601074","107.505752563477","107.245079040527","107.719818115234","108.225723266602","","106.735969543457","106.997520446777","109.145050048828","109.155143737793","106.609100341797","","107.166641235352","108.474411010742","","","","","111.589637756348","107.976997375488","112.9287109375","114.963897705078","115.964492797852","116.104461669922","116.241172790527","113.836280822754","115.075302124023","114.294250488281","115.727958679199","116.634246826172","117.794639587402","117.79508972168","118.087951660156","117.269622802734","116.294883728027","114.022773742676","113.037521362305","111.998291015625","110.734329223633","108.907981872559","108.148078918457","108.132736206055","107.172370910645","106.816291809082","105.461906433105","101.923423339513","","",
