country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,"School enrollment, tertiary, female (% gross)",3.50468993186951,3.73327994346619,3.99998998641968,4.21983003616333,4.51276016235352,4.7675199508667,5.08440017700195,5.2108302116394,5.50124979019165,5.97102022171021,6.4226598739624,6.66951990127563,7.10451984405518,7.3339900970459,7.40940999984741,7.53871011734009,7.71562004089355,7.9309401512146,8.0177001953125,7.97016000747681,8.05679988861084,8.02046966552734,,
Africa Western and Central,AFW,"School enrollment, tertiary, female (% gross)",3.72952008247375,4.06348991394043,4.42965984344482,4.76814985275269,4.98808002471924,5.32982015609741,5.376540184021,5.55767011642456,5.72002983093262,5.89408016204834,6.08655977249146,6.21005010604858,6.53436994552612,6.99527978897095,7.21031999588013,7.38692998886108,7.29552984237671,7.38944005966187,7.66539001464844,7.9415397644043,8.16154003143311,8.47974014282227,,
Arab World,ARB,"School enrollment, tertiary, female (% gross)",16.152530670166,16.8689403533936,17.8973999023438,18.3915195465088,19.3647308349609,20.6458606719971,21.5399894714356,21.7241897583008,23.4479999542236,24.3333301544189,25.1151504516602,24.71217918396,25.9803504943848,27.5376396179199,28.9061603546143,30.6191902160644,31.5670204162598,32.0461616516113,33.5179100036621,33.8893508911133,34.361141204834,34.0556983947754,34.4974098205566,34.7579307556152
Australia,AUS,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,,,,,,141.459671020508,141.215682983398,129.974945068359,119.994178771973,128.240249633789,130.225402832031,135.733032226562,128.283416748047,125.171501159668
East Asia & Pacific,EAS,"School enrollment, tertiary, female (% gross)",15.1963996887207,15.9441404342651,17.7628498077393,19.4840202331543,21.2422294616699,22.5040702819824,24.130350112915,25.4850807189941,26.3920707702637,27.8694000244141,29.7747993469238,31.519889831543,34.1336288452148,37.0369415283203,44.8091697692871,47.6613807678223,49.9144515991211,50.6279106140137,51.6399803161621,54.0149383544922,57.0703086853027,60.4939117431641,63.6897506713867,66.5351333618164
European Union,EUU,"School enrollment, tertiary, female (% gross)",54.6741714477539,57.6084289550781,60.5620918273926,63.1297988891602,65.5562973022461,67.5275421142578,69.1958770751953,70.1552505493164,71.5001678466797,72.827278137207,74.3509674072266,75.0537567138672,74.6586227416992,74.7333831787109,75.8124237060547,76.8882293701172,77.8732681274414,79.4047164916992,80.8901062011719,82.3010101318359,83.8961181640625,87.4528121948242,89.8954620361328,89.9082870483398
High income,HIC,"School enrollment, tertiary, female (% gross)",61.0324096679688,64.6687927246094,68.6636199951172,71.2057266235352,73.3120498657227,74.7682723999023,76.5535430908203,77.8798522949219,79.0841369628906,80.7175674438477,81.7727127075195,82.5568008422852,82.7106170654297,83.1938323974609,83.8651504516602,84.5474472045898,85.1591720581055,85.4543609619141,85.9467926025391,87.1446228027344,88.458869934082,90.589973449707,90.2561264038086,91.4468688964844
Latin America & Caribbean,LCN,"School enrollment, tertiary, female (% gross)",25.7670402526856,27.2950191497803,29.3838195800781,31.1989707946777,32.8613395690918,34.7931289672852,42.713680267334,40.501091003418,43.8180084228516,45.2948799133301,46.9485702514648,48.682430267334,50.1114196777344,51.3348808288574,53.226261138916,54.5983505249023,56.9438400268555,58.6132698059082,59.5662803649902,60.8130187988281,63.2403602600098,66.2070007324219,68.1069488525391,71.2024765014648
Low income,LIC,"School enrollment, tertiary, female (% gross)",3.08267998695373,3.25638008117676,3.47827005386352,3.54962992668152,3.84350991249085,4.17296981811523,4.56969022750854,4.6979398727417,5.01383018493652,5.44752979278565,5.83350992202759,6.03152990341187,6.43501996994019,6.49616003036499,6.83050012588501,6.85010004043579,6.77902984619141,6.88082981109619,6.97270011901855,7.15356016159058,7.3515100479126,7.44899988174438,,
Lower middle income,LMC,"School enrollment, tertiary, female (% gross)",8.30731964111328,8.62637996673584,9.10881996154785,9.25961971282959,9.53759002685547,9.8698902130127,10.5613603591919,11.3284101486206,12.42160987854,13.1165103912353,14.3989200592041,16.7830696105957,18.2728290557861,18.8188991546631,20.3431491851807,21.2342700958252,21.593469619751,21.9183197021484,22.3533992767334,23.4094696044922,24.1593208312988,25.2334499359131,25.8230209350586,27.2406406402588
North America,NAC,"School enrollment, tertiary, female (% gross)",76.4307632446289,82.1066284179688,87.907356262207,90.4060592651367,92.8610534667969,92.936653137207,95.8585510253906,96.7256011962891,97.4585494995117,99.9669570922852,99.6065216064453,99.7432708740234,100.043838500977,100.530166625977,100.259368896484,100.443840026855,100.247413635254,100.083770751953,100.249130249023,100.672393798828,101.383178710938,100.868522644043,94.605712890625,97.1925277709961
South Asia,SAS,"School enrollment, tertiary, female (% gross)",7.15493011474609,7.48057985305786,7.88865995407104,8.12996006011963,8.3007698059082,8.50257015228271,9.31194972991943,10.4211397171021,11.946310043335,12.9097204208374,14.6814298629761,18.8380107879639,21.2051601409912,21.5296096801758,23.3754005432129,24.7449493408203,24.9898300170898,25.8752498626709,26.9306297302246,28.1575508117676,28.9023704528809,30.2610607147217,30.917760848999,32.8421783447266
Upper middle income,UMC,"School enrollment, tertiary, female (% gross)",15.1106004714966,16.2194004058838,18.2254600524902,20.4231300354004,22.3906593322754,23.9569606781006,27.1444206237793,27.7204494476318,29.2768802642822,30.8409194946289,32.960319519043,35.0666999816895,38.0672302246094,40.9700508117676,47.7412910461426,50.6184501647949,53.0246505737305,54.7457618713379,56.4238204956055,58.7018508911133,61.7308197021484,65.0223388671875,67.8233032226562,70.3938369750977
