country_name,country_code,year,male,female,level
Africa Eastern and Southern,AFE,2000,83.3678512573242,74.1068725585938,primary
Africa Western and Central,AFW,2000,89.5402526855469,71.4281768798828,primary
Arab World,ARB,2000,93.2574615478516,82.6585006713867,primary
Australia,AUS,2000,101.746597290039,101.411880493164,primary
East Asia & Pacific,EAS,2000,110.146797180176,110.308181762695,primary
European Union,EUU,2000,103.935676574707,102.599060058594,primary
High income,HIC,2000,103.613380432129,102.505058288574,primary
Latin America & Caribbean,LCN,2000,117.201438903809,114.087532043457,primary
Low income,LIC,2000,77.0344772338867,60.9345588684082,primary
Lower middle income,LMC,2000,100.187171936035,87.0682373046875,primary
North America,NAC,2000,101.301910400391,99.8882522583008,primary
South Asia,SAS,2000,105.863059997559,90.7817611694336,primary
Upper middle income,UMC,2000,112.053230285645,110.765243530273,primary
Africa Eastern and Southern,AFE,2001,86.1019592285156,76.817268371582,primary
Africa Western and Central,AFW,2001,89.5624771118164,72.4831008911133,primary
Arab World,ARB,2001,93.3185272216797,83.6286315917969,primary
Australia,AUS,2001,101.519828796387,101.354629516602,primary
East Asia & Pacific,EAS,2001,110.649879455566,111.222671508789,primary
European Union,EUU,2001,104.012962341309,103.047073364258,primary
High income,HIC,2001,103.529006958008,102.964057922363,primary
Latin America & Caribbean,LCN,2001,116.273826599121,113.437812805176,primary
Low income,LIC,2001,79.8940734863281,63.7413215637207,primary
Lower middle income,LMC,2001,98.9542083740234,86.8249969482422,primary
North America,NAC,2001,100.366630554199,100.077743530273,primary
South Asia,SAS,2001,103.536903381348,89.8244705200195,primary
Upper middle income,UMC,2001,112.602813720703,111.77774810791,primary
Africa Eastern and Southern,AFE,2002,88.7648468017578,79.0013275146484,primary
Africa Western and Central,AFW,2002,91.3788375854492,74.1047286987305,primary
Arab World,ARB,2002,93.9094390869141,84.8486633300781,primary
Australia,AUS,2002,102.667877197266,102.393867492676,primary
East Asia & Pacific,EAS,2002,109.242149353027,109.70955657959,primary
