Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,"School enrollment, secondary, female (% gross)",25.5485401153564,26.3633804321289,26.9570503234863,27.4211807250977,28.4966602325439,29.3665599822998,30.7157497406006,31.8105907440186,33.3657188415527,34.5432586669922,35.623420715332,36.5236701965332,37.6529693603516,38.6157493591309,39.738208770752,39.6892509460449,40.2670402526855,40.8391418457031,41.1385498046875,41.6500816345215,42.3275299072266,42.7693405151367,42.9131698608398,
Africa Western and Central,AFW,"School enrollment, secondary, female (% gross)",18.7828693389893,20.19407081604,20.6358604431152,22.5834197998047,24.1746807098389,25.2043399810791,25.3873996734619,25.3766708374023,28.1702404022217,30.8871803283691,33.9896202087402,35.5903816223145,37.8155899047852,42.5206108093262,38.7878112792969,40.3699607849121,39.0918617248535,39.740650177002,40.4764213562012,42.076530456543,43.326961517334,44.3946685791016,44.9384689331055,46.1132011413574
Arab World,ARB,"School enrollment, secondary, female (% gross)",56.1960716247559,57.5917701721191,58.7111282348633,60.5331802368164,61.9100914001465,61.6643486022949,61.9617195129395,61.0592498779297,61.1059417724609,62.877799987793,63.3116188049316,65.2037963867188,65.3947219848633,63.5361595153809,63.9555587768555,64.5253677368164,64.8255615234375,65.4355316162109,65.6868133544922,66.192512512207,66.1664199829102,66.8292694091797,68.3780136108398,67.6763610839844
Australia,AUS,"School enrollment, secondary, female (% gross)",,,,,,,,,,,,,,,,147.584396362305,144.401290893555,144.534530639648,132.354217529297,139.616836547852,135.490798950195,133.347183227539,130.563079833984,131.09733581543
East Asia & Pacific,EAS,"School enrollment, secondary, female (% gross)",60.9457092285156,62.8622512817383,63.8230400085449,65.3064880371094,68.1626815795898,70.5025024414062,73.6256332397461,77.3227996826172,80.100212097168,84.3223571777344,85.2631530761719,86.7125930786133,87.5260620117188,88.3574523925781,88.063102722168,88.283332824707,87.7668609619141,87.9111175537109,88.4812393188477,90.0556335449219,90.8184967041016,91.3720321655273,92.0620269775391,92.7077789306641
European Union,EUU,"School enrollment, secondary, female (% gross)",101.815292358398,103.150093078613,103.708229064941,104.016456604004,101.810302734375,103.165328979492,103.802017211914,103.797233581543,104.980712890625,105.384651184082,106.656219482422,107.169059753418,106.137130737305,108.645858764648,107.979553222656,107.710403442383,107.008682250977,107.164947509766,107.385391235352,107.081871032715,108.042427062988,107.97386932373,107.83553314209,107.276847839355
High income,HIC,"School enrollment, secondary, female (% gross)",99.3023223876953,99.7302169799805,99.9672012329102,100.244621276855,98.8796234130859,99.1143112182617,98.7770233154297,98.8493499755859,99.3857803344727,100.540420532227,101.32447052002,101.351547241211,101.291976928711,104.252471923828,104.591819763184,104.697738647461,104.505218505859,104.842407226562,104.676200866699,104.791778564453,103.970611572266,104.476928710938,104.096839904785,103.020812988281
Latin America & Caribbean,LCN,"School enrollment, secondary, female (% gross)",81.7892074584961,83.0510101318359,90.0146865844727,87.7489395141602,89.4052276611328,89.802131652832,88.2992324829102,89.54833984375,90.7860565185547,91.6666488647461,92.5485076904297,92.8820495605469,92.7997589111328,97.5087127685547,97.6046905517578,97.6465072631836,98.4324188232422,98.6545333862305,99.8022918701172,100.104858398438,99.7190017700195,100.688407897949,100.203941345215,100.538856506348
Low income,LIC,"School enrollment, secondary, female (% gross)",19.2532196044922,19.9996604919434,20.8379898071289,22.4006404876709,23.3115005493164,24.3522205352783,25.7542400360107,26.72825050354,28.4405002593994,29.8598594665527,31.2394199371338,32.5779609680176,33.6832504272461,33.1779518127441,33.6816101074219,34.0883712768555,34.5961303710938,35.3164710998535,35.7923583984375,36.247371673584,36.8219184875488,37.4900817871094,37.7314682006836,
Lower middle income,LMC,"School enrollment, secondary, female (% gross)",39.2242393493652,39.7521591186523,41.4319915771484,43.9703102111816,45.0138206481934,46.6362800598145,47.5838317871094,49.2178916931152,51.493278503418,52.3352088928223,54.8984184265137,56.6165008544922,58.6043815612793,60.5203018188477,62.8911285400391,63.3554496765137,64.3369522094727,63.751091003418,64.9927520751953,65.5440673828125,66.4716873168945,67.2521286010742,68.3247604370117,68.203498840332
North America,NAC,"School enrollment, secondary, female (% gross)",95.5698165893555,95.1561889648438,94.7082214355469,95.5795364379883,96.4445114135742,96.2285079956055,94.9494400024414,95.1765670776367,95.4206085205078,96.4992523193359,96.5648193359375,96.6986389160156,97.5537719726562,97.6731033325195,98.7799606323242,99.368782043457,99.6349105834961,99.8584365844727,99.9377136230469,100.248710632324,100.397407531738,102.064552307129,99.5094299316406,97.2571105957031
South Asia,SAS,"School enrollment, secondary, female (% gross)",40.5729293823242,40.8564796447754,43.2442016601562,46.8258094787598,47.6684112548828,50.1592597961426,51.1434783935547,53.7980499267578,57.021728515625,57.7675285339355,61.3690986633301,63.5410003662109,66.3012619018555,68.1774368286133,73.1499404907227,73.1828765869141,74.9855804443359,73.732780456543,75.2186279296875,75.2787170410156,76.702880859375,78.1247634887695,79.9995727539062,78.5853118896484
Upper middle income,UMC,"School enrollment, secondary, female (% gross)",66.2597122192383,68.3133697509766,70.6292572021484,71.2107620239258,73.840202331543,75.7810897827148,78.3796768188477,81.7421188354492,84.385009765625,87.9890213012695,88.9938888549805,90.385612487793,90.9012832641602,93.5033798217773,93.6200866699219,93.5445327758789,93.4494018554688,93.6901931762695,94.4231109619141,95.2726516723633,95.6853103637695,96.4112930297852,96.6962585449219,97.1281433105469
