Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,"School enrollment, secondary, male (% gross)",29.9147891998291,31.2034797668457,31.9824695587158,32.7631492614746,34.5908699035645,35.7283401489258,37.3952903747559,39.0591583251953,40.3244514465332,41.3559188842773,42.081600189209,42.4351081848145,43.3469886779785,43.6335487365723,44.6735801696777,44.8140106201172,45.0760307312012,45.650218963623,45.9612617492676,46.5883598327637,47.018871307373,47.5120506286621,47.6300582885742,
Africa Western and Central,AFW,"School enrollment, secondary, male (% gross)",25.8329792022705,27.6993408203125,30.0123596191406,31.5979099273682,33.2710914611816,33.8232002258301,34.2423706054688,34.7163581848145,36.9593315124512,39.3696784973145,42.5637512207031,44.6402587890625,45.3772811889648,50.2240180969238,46.1268005371094,46.9467315673828,45.4205017089844,45.0409698486328,44.8823089599609,45.6785697937012,46.0977096557617,46.7034606933594,46.3141708374023,46.7609710693359
Arab World,ARB,"School enrollment, secondary, male (% gross)",62.0485000610352,63.2122497558594,63.5881195068359,64.8697967529297,66.1074981689453,65.1168594360352,64.984260559082,63.8065414428711,63.9938201904297,66.0612869262695,66.491340637207,68.1433868408203,68.7666931152344,67.0570220947266,67.4220428466797,67.7083435058594,68.0219268798828,68.3695068359375,68.3659515380859,68.5187377929688,68.3533020019531,69.1250610351562,70.4906692504883,69.5897369384766
Australia,AUS,"School enrollment, secondary, male (% gross)",,,,,,,,,,,,,,,,170.071990966797,166.21826171875,162.138916015625,139.648254394531,148.244705200195,139.374725341797,137.574722290039,135.833282470703,136.93244934082
East Asia & Pacific,EAS,"School enrollment, secondary, male (% gross)",63.2668914794922,64.8903121948242,65.4806671142578,66.5983200073242,68.6420135498047,70.2104263305664,72.6614990234375,75.9831390380859,78.3479080200195,81.9322509765625,84.2464370727539,85.472900390625,85.7374725341797,86.7014999389648,85.8870620727539,86.1397933959961,85.4104537963867,85.7120208740234,86.2228088378906,88.0189514160156,89.0723266601562,89.8716201782227,90.5718765258789,91.3187713623047
European Union,EUU,"School enrollment, secondary, male (% gross)",101.213088989258,102.163070678711,102.92845916748,103.375793457031,101.01407623291,102.656112670898,103.551963806152,103.537773132324,104.737991333008,105.744216918945,107.265106201172,108.124687194824,107.167411804199,109.180946350098,108.44352722168,108.189567565918,107.235771179199,107.651550292969,107.713607788086,107.497192382812,108.191787719727,107.979820251465,107.452827453613,106.64909362793
High income,HIC,"School enrollment, secondary, male (% gross)",97.8954010009766,98.4196090698242,98.9757614135742,99.1025772094727,97.5397415161133,97.9482421875,98.3464965820312,98.5580596923828,99.186882019043,100.206321716309,101.08162689209,101.26065826416,101.495407104492,104.271812438965,104.53897857666,104.809410095215,104.752998352051,105.144866943359,104.956703186035,105.398368835449,104.482803344727,104.323997497559,103.403816223145,103.173667907715
Latin America & Caribbean,LCN,"School enrollment, secondary, male (% gross)",77.0258331298828,78.0848236083984,84.4059371948242,81.6343002319336,83.3975677490234,83.5519638061523,81.787467956543,82.8174591064453,83.8287887573242,84.8180770874023,86.0204162597656,86.619270324707,86.984001159668,92.1076507568359,92.2357330322266,92.6001586914062,93.831657409668,94.5117568969727,95.4137268066406,95.2773132324219,94.6235809326172,94.2917098999023,94.1012268066406,94.6747131347656
Low income,LIC,"School enrollment, secondary, male (% gross)",28.7555103302002,29.8543796539307,30.4471206665039,32.1424789428711,33.9013595581055,34.8307991027832,36.63671875,37.3850288391113,39.1269912719727,40.3209190368652,41.2363204956055,41.9028282165527,42.6383590698242,41.4511184692383,42.029369354248,41.6817512512207,42.3660507202148,42.9825897216797,43.4518890380859,44.0077095031738,44.4558410644531,45.080078125,45.0550003051758,
Lower middle income,LMC,"School enrollment, secondary, male (% gross)",49.1518898010254,49.4048614501953,50.6568603515625,51.4477081298828,52.8930397033691,53.9127807617188,54.6030502319336,55.810718536377,57.1602897644043,56.6955909729004,59.184871673584,60.8268013000488,62.5723609924316,62.7571296691895,64.7580413818359,65.1554870605469,66.0465698242188,65.2932815551758,66.3029022216797,66.5640716552734,68.032356262207,69.7002105712891,69.4192733764648,68.5216903686523
North America,NAC,"School enrollment, secondary, male (% gross)",94.0496597290039,94.6635284423828,95.3163070678711,95.0673599243164,94.8317718505859,94.8664627075195,95.5426406860352,95.6971893310547,95.8644332885742,95.3859634399414,95.6637802124023,96.0153121948242,97.0218200683594,97.385498046875,97.6594390869141,98.3874969482422,100.108619689941,100.282279968262,100.763641357422,101.749588012695,102.198707580566,101.602462768555,97.2686767578125,98.2929763793945
South Asia,SAS,"School enrollment, secondary, male (% gross)",53.9573287963867,53.6548805236816,55.0567817687988,55.9646492004395,57.4509315490723,59.2994194030762,59.7690696716309,61.3017196655273,63.1694297790527,61.9600715637207,65.0650787353516,66.897331237793,69.3172912597656,68.0343475341797,72.7299270629883,72.7067718505859,74.4118423461914,73.2217025756836,74.8747100830078,74.6493835449219,77.2911834716797,80.428596496582,79.8859634399414,77.3344192504883
Upper middle income,UMC,"School enrollment, secondary, male (% gross)",67.7393493652344,69.5156097412109,71.3286819458008,71.4919128417969,73.2605209350586,74.4177627563477,76.2518692016602,79.0480117797852,81.4071884155273,84.552116394043,86.7414703369141,88.0680923461914,88.1952972412109,90.8306274414062,90.4413909912109,90.7119674682617,90.3358917236328,91.0472793579102,91.6489410400391,92.5366363525391,93.0118179321289,93.5969085693359,94.0571670532227,94.6402587890625
