country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,"School enrollment, tertiary, male (% gross)",4.49486017227173,4.79491996765137,5.00834989547729,5.40652990341187,5.74175977706909,6.02826023101807,6.27903985977173,6.45374011993408,6.94767999649048,7.60516977310181,8.27505016326904,8.75815010070801,8.88735008239746,9.0416202545166,9.17440986633301,9.32995986938477,9.42959022521973,9.49413013458252,9.4838695526123,9.3754997253418,9.36713981628418,9.30325031280518,,
Africa Western and Central,AFW,"School enrollment, tertiary, male (% gross)",6.15844011306763,6.78414011001587,7.42371988296509,8.07135963439941,8.22708988189697,8.71543025970459,8.77538013458252,9.03394985198975,9.34912014007568,9.41895008087158,9.76231002807617,10.2214803695679,10.6504697799683,11.2306900024414,11.5302801132202,11.4749402999878,11.1979904174805,11.3570003509522,11.4625396728516,11.4861497879028,11.6578903198242,11.8494596481323,,
Arab World,ARB,"School enrollment, tertiary, male (% gross)",17.5088691711426,17.9445495605469,18.5274600982666,18.1928901672363,19.4481391906738,20.167350769043,20.3604202270508,21.4095897674561,21.4908409118652,22.3288307189941,23.0734996795654,22.5760993957519,24.0450496673584,25.7630596160889,27.0713405609131,28.3056392669678,28.4878406524658,29.45578956604,30.2424201965332,30.5334701538086,31.2983894348144,31.3516902923584,31.0107097625732,31.8071002960205
Australia,AUS,"School enrollment, tertiary, male (% gross)",,,,,,,,,,,,,,,,98.9614868164062,99.1694107055664,90.9939193725586,87.498649597168,92.3744812011719,91.2996826171875,91.0609893798828,85.6454315185547,85.6293411254883
East Asia & Pacific,EAS,"School enrollment, tertiary, male (% gross)",17.8526096343994,18.9207000732422,20.3110599517822,22.0352191925049,23.3358497619629,24.4356193542481,25.1979198455811,25.5790996551514,26.0055294036865,26.9169406890869,28.3187103271484,29.6235809326172,31.2216701507568,33.1487312316895,39.2321014404297,41.166690826416,42.333179473877,42.8744201660156,43.5660591125488,45.3829002380371,48.6606407165527,52.1009292602539,55.4007987976074,57.7082405090332
European Union,EUU,"School enrollment, tertiary, male (% gross)",47.2760200500488,49.1958389282227,50.989688873291,52.9786109924316,54.5922889709473,55.8255996704102,56.6660804748535,57.0822486877441,57.8193511962891,58.6881294250488,59.7480087280273,60.2826499938965,60.3984718322754,60.7058296203613,61.9837913513184,62.9809417724609,63.5542793273926,64.6098480224609,65.4250564575195,66.3162307739258,66.7063598632812,68.9009399414062,70.031120300293,69.720703125
High income,HIC,"School enrollment, tertiary, male (% gross)",52.4662399291992,54.6695404052734,56.7703285217285,58.4229698181152,58.9989891052246,59.6900405883789,60.6138687133789,61.5570297241211,62.2365684509277,63.2168312072754,64.267707824707,64.9787368774414,65.8041534423828,66.7143783569336,67.8252334594727,68.3271789550781,69.0202102661133,69.0398101806641,69.2041473388672,69.7033081054688,69.9160690307617,70.7492218017578,70.3556976318359,71.9148712158203
Latin America & Caribbean,LCN,"School enrollment, tertiary, male (% gross)",21.8702697753906,23.2590293884277,24.8216705322266,26.1452007293701,27.4027900695801,28.8745594024658,34.5359687805176,32.2349395751953,34.7485809326172,35.2543792724609,36.6310997009277,37.8918304443359,38.8389282226562,39.711368560791,41.1029510498047,42.2983283996582,43.971378326416,45.056568145752,45.5169906616211,46.0976600646973,46.7835006713867,47.6464195251465,48.6480484008789,50.4100112915039
Low income,LIC,"School enrollment, tertiary, male (% gross)",5.88222980499268,6.16816997528076,6.35248994827271,6.61088991165161,7.00847005844116,7.43467998504639,7.79188013076782,8.12944984436035,8.70666027069092,9.41306972503662,10.0286703109741,10.0976104736328,10.3989601135254,10.5426397323608,10.961259841919,10.8476696014404,10.6171903610229,10.6784696578979,10.7624197006226,10.8455495834351,11.0187997817993,11.0868101119995,,
Lower middle income,LMC,"School enrollment, tertiary, male (% gross)",11.1493101119995,11.3921499252319,11.6843500137329,12.0127000808716,12.5114803314209,12.6056003570557,13.0732097625732,14.4635601043701,15.6897897720337,16.5850105285644,17.8645000457764,20.3395595550537,20.7686405181885,20.4584693908691,21.2072505950928,22.1347599029541,22.0959892272949,22.1392803192139,22.3245792388916,22.810510635376,23.4399108886719,24.6958408355713,25.5322895050049,26.3673000335693
North America,NAC,"School enrollment, tertiary, male (% gross)",57.8130683898926,61.3481216430664,64.7836685180664,65.5049896240234,66.2379608154297,65.5176696777344,67.2619400024414,68.3096313476562,69.3587112426758,71.4303817749023,71.8752899169922,72.4552536010742,72.790168762207,73.2615127563477,73.6229476928711,73.9246673583984,74.3622970581055,73.4658279418945,73.2824096679688,72.8285293579102,71.9706726074219,68.5778121948242,64.7012100219727,67.9409713745117
South Asia,SAS,"School enrollment, tertiary, male (% gross)",11.145489692688,11.2497797012329,11.7205495834351,12.3424501419067,12.6921195983887,12.2974395751953,13.1710596084595,15.1505403518677,17.2766799926758,18.5039100646973,20.3601303100586,24.5946197509766,24.912130355835,23.7743797302246,24.6612796783447,25.9389705657959,26.0030899047852,26.2690696716309,26.8265399932861,27.2016696929932,27.5806503295898,29.4192600250244,30.9650192260742,32.0595092773438
Upper middle income,UMC,"School enrollment, tertiary, male (% gross)",15.6081495285034,16.8075294494629,18.42160987854,20.4275398254394,21.931489944458,23.1726493835449,25.3807697296143,25.2591991424561,26.3036098480225,27.3478908538818,29.1574592590332,30.8178291320801,32.805591583252,34.9509582519531,40.676929473877,42.9756088256836,44.5774917602539,45.9554710388184,46.8679008483887,48.2838592529297,50.797679901123,53.4622611999512,56.251781463623,58.3539581298828
