"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.178176879883","112.701797485352","112.163436889648","114.564247131348","114.752197265625","116.870246887207","115.377548217773","113.528038024902","114.756820678711","117.757690429688","104.978561401367","105.428016662598","113.409687425435","114.785140991211","115.664439495175","","","108.680381774902","108.657241821289","107.233497619629","110.376373291016","103.966537475586","","109.52380952381","",
"Africa Eastern and Southern","AFE","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","53.4128799438477","50.5861206054688","51.5266799926758","52.7547988891602","56.2120513916016","58.4527893066406","59.7391204833984","61.7698707580566","63.2358894348145","65.979133605957","69.2611083984375","71.4942626953125","72.0937118530273","71.9779205322266","71.5183181762695","69.0084991455078","68.9175262451172","68.3173217773438","67.4894790649414","69.574089050293","67.7468032836914","69.3729095458984","68.1655578613281","68.9808731079102","68.8783798217773","69.7845001220703","69.4062423706055","72.298942565918","72.5601806640625","72.4211196899414","74.1068725585938","76.817268371582","79.0013275146484","82.6263275146484","85.0080413818359","88.5643615722656","91.4014282226562","94.5530624389648","98.3871002197266","98.4381637573242","97.8992309570312","97.1828231811523","97.8210601806641","97.6475296020508","98.3120574951172","97.6766204833984","98.4886779785156","99.2469177246094","100.397392272949","101.581253051758","102.679443359375","101.799057006836","99.3051300048828","99.8260803222656","100.319190979004","",
"Afghanistan","AFG","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","9.03201961517334","9.06420993804932","9.35881996154785","9.85955047607422","9.95164012908936","10.6323204040527","11.1870098114014","11.8761100769043","12.5929803848267","","16.0818901062012","18.5710906982422","13.2624797821045","","15.5455303192139","16.0756607055664","18.4125499725342","","22.3423805236816","21.6049995422363","21.4987697601318","21.8258495330811","","16.9913997650146","28.9432392120361","31.14674949646","","","","3.93224000930786","0","0","45.289249420166","67.7774276733398","62.8472290039062","72.6781768798828","77.9809265136719","75.0916976928711","80.9189910888672","78.9098129272461","83.5823516845703","84.4092712402344","89.1339797973633","88.9333267211914","90.1360397338867","86.3734893798828","86.2912979125977","85.887451171875","86.1061782836914","87.5758590698242","","","","","","",
"Africa Western and Central","AFW","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","32.5573616027832","34.3469390869141","36.4150085449219","38.0477981567383","38.3189811706543","38.7095108032227","39.3360404968262","45.1954002380371","52.5699501037598","58.5935707092285","61.683521270752","65.454963684082","69.421142578125","69.2302398681641","68.6398315429688","67.4263687133789","62.3161392211914","61.0261917114258","58.1600494384766","59.5626106262207","59.4564781188965","60.1164283752441","62.3116188049316","63.9776000976562","64.6731262207031","63.9466094970703","60.3274612426758","63.4343910217285","65.7666778564453","68.1017303466797","71.4281768798828","72.4831008911133","74.1047286987305","75.2953186035156","77.389030456543","78.62255859375","80.0140228271484","78.3549194335938","76.4313812255859","78.4203033447266","79.7003021240234","83.7380523681641","86.4632720947266","87.7490921020508","86.623908996582","84.5517883300781","83.6496429443359","84.1819534301758","84.5205307006836","85.7524185180664","86.6695709228516","86.7731704711914","88.0174407958984","89.2489776611328","89.6820220947266","",
"Angola","AGO","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","46.4111404418945","51.0179405212402","","","","","","","","","","124.237831115723","109.266906738281","","","80.5357284545898","80.2935180664062","77.5841369628906","79.1315612792969","77.7902908325195","70.9069671630859","65.7146682739258","","","","","","69.791389465332","","","","","","","","","","104.482917785645","102.934066772461","101.911267747543","99.9700503624111","","","","113.231742858887","","","","","","87.6051433531287","","87.0918938917651","","",
"Albania","ALB","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.282859802246","106.092651367188","103.175003051758","105.857566833496","104.857566833496","103.241828918457","100.32054901123","100.334747314453","99.5512062495926","101.190228844499","101.568549897997","100.55222552247","105.631216351857","104.83019313685","104.604589791967","103.944432538732","102.376650451703","99.5995531062879","97.267965482157","94.1969388262188","93.0946774620044","90.1667647134051","111.428237915039","",
"Andorra","AND","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","103.816787719727","","","","","","","","101.927856445312","","","","","","","","","","","","","","","","","","","99.5401077270508","101.243522644043","99.6029815673828","89.3557434082031","90.4489364624023","87.7413864135742","85.3462219238281","84.6123275756836","84.695930480957","86.5703430175781","82.4978790283203","84.375","86.7300724637681","87.9302637460885","89.4359892569382","89.671772428884","88.7601887601888","88.8560574081891","88.4664131812421","88.7723896898209","90.3383793410508","97.5417439703154","99.7591522157996","",
"Arab World","ARB","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","58.0688400268555","54.7552604675293","56.0658416748047","57.2679710388184","57.9405708312988","59.4647216796875","61.0410690307617","62.2119903564453","63.0969390869141","59.0495681762695","67.1239471435547","67.703369140625","68.8273391723633","69.7259368896484","70.7704696655273","71.1004028320312","72.1899719238281","73.4640731811523","74.020378112793","74.5600509643555","75.78466796875","76.4317321777344","74.6088485717773","75.3580932617188","77.5725708007812","76.9355926513672","77.4916763305664","79.8663787841797","80.6441421508789","81.8661575317383","82.6585006713867","83.6286315917969","84.8486633300781","85.9767913818359","86.3581695556641","86.1738128662109","87.4204788208008","87.2020721435547","87.7240295410156","87.7877197265625","88.2430114746094","87.1210403442383","88.9285430908203","85.6685028076172","85.0300674438477","84.9579010009766","85.4079132080078","85.8488311767578","86.3674774169922","86.8806381225586","87.4853973388672","87.3852462768555","85.915901184082","88.9331512451172","89.6506195068359","",
"United Arab Emirates","ARE","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.218162536621","116.280799865723","115.07633972168","108.737442016602","104.129318237305","99.3619384765625","","","","","","","","","","","","106.755024922826","107.70701622166","107.667083834477","107.529731846569","107.306650157188","106.528056975475","107.537418963839","",
"Argentina","ARG","School enrollment, primary, female (% gross)","SE.PRM.ENRR.FE","","","","","","","","","","","105.299682617188","106.148452758789","105.64965057373","105.865089416504","106.48681640625","106.153190612793","105.670623779297","106.571197509766","106.613990783691","106.02660369873","105.887107849121","106.430023193359","106.904418945312","","106.850730895996","108.120727539062","109.229919433594","110.452247619629","113.677169799805","","107.451232910156","108.747787475586","","","","","111.700752258301","109.415077209473","113.513313293457","116.862037658691","117.180702209473","117.425521850586","117.545852661133","114.940650939941","115.834991455078","114.881370544434","116.670471191406","117.868202209473","118.871688842773","118.816383361816","118.170471191406","117.481262207031","116.58528137207","114.841003417969","114.75520324707","113.927619934082","112.627586364746","110.90795135498","110.531028747559","110.614883422852","109.915077209473","109.540176391602","108.132888793945","103.18201777437","","",
